#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_2	cds	670195	670779	+	KDBBKD_04770	phnH	phosphonate C-P lyase system protein PhnH	EC:2.7.8.37, GO:0015716, GO:0019634, GO:0019700, GO:0042802, GO:0061693, GO:0061694, GO:1904176, RefSeq:WP_000171628.1, SO:0001217, UniParc:UPI0000131998, UniRef:UniRef100_P16686, UniRef:UniRef50_P16686, UniRef:UniRef90_P16686
contig_2	cds	670779	671843	+	KDBBKD_04775	phnI	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI	COG:COG3626, COG:P, EC:2.7.8.37, GO:0015716, GO:0019634, GO:0019700, GO:0061693, GO:0061694, GO:1904176, KEGG:K06164, RefSeq:WP_001295388.1, SO:0001217, UniParc:UPI000013199A, UniRef:UniRef100_P16687, UniRef:UniRef50_P16687, UniRef:UniRef90_P16687
contig_2	cds	671836	672681	+	KDBBKD_04780	phnJ	alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ	EC:4.7.1.1, GO:0015716, GO:0016829, GO:0019634, GO:0019700, GO:0046872, GO:0051539, GO:0061694, GO:0098848, GO:1904176, RefSeq:WP_000002303.1, SO:0001217, UniParc:UPI000013199C, UniRef:UniRef100_P16688, UniRef:UniRef50_P16688, UniRef:UniRef90_P16688
contig_2	cds	672678	673436	+	KDBBKD_04785	phnK	phosphonate C-P lyase system protein PhnK	COG:COG4107, COG:P, GO:0005524, GO:0015716, GO:0019634, GO:0019700, GO:0061694, GO:1904176, RefSeq:WP_001075514.1, SO:0001217, UniParc:UPI000013199E, UniRef:UniRef100_P16678, UniRef:UniRef50_P16678, UniRef:UniRef90_P16678
contig_2	cds	673547	674227	+	KDBBKD_04790	phnL	phosphonate C-P lyase system protein PhnL	COG:COG4778, COG:P, EC:2.7.8.37, GO:0005524, GO:0015716, GO:0019634, GO:0019700, GO:0061693, GO:0061694, GO:1904176, RefSeq:WP_000611405.1, SO:0001217, UniParc:UPI00001319A1, UniRef:UniRef100_P16679, UniRef:UniRef50_P16679, UniRef:UniRef90_P16679
contig_2	cds	674224	675360	+	KDBBKD_04795	phnM	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase	COG:COG3454, COG:P, EC:3.6.1.63, GO:0016810, GO:0019700, RefSeq:WP_000586325.1, SO:0001217, UniParc:UPI00001319A2, UniRef:UniRef100_P16689, UniRef:UniRef50_P16689, UniRef:UniRef90_P16689
contig_2	cds	675360	675917	+	KDBBKD_04800	phnN	ribose 1,5-bisphosphokinase	COG:COG3709, COG:G, EC:2.7.4.23, GO:0005524, GO:0006015, GO:0019634, GO:0033863, KEGG:K05774, RefSeq:WP_000971886.1, SO:0001217, UniParc:UPI00001319A3, UniRef:UniRef100_P16690, UniRef:UniRef50_P16690, UniRef:UniRef90_P16690
contig_2	cds	675904	676338	+	KDBBKD_04805	phnO	aminoalkylphosphonate N-acetyltransferase	COG:COG1246, COG:E, EC:2.3.1.280, GO:0008080, GO:0018393, GO:0033051, GO:0061733, RefSeq:WP_001110490.1, SO:0001217, UniParc:UPI00001319A4, UniRef:UniRef100_P16691, UniRef:UniRef50_P16691, UniRef:UniRef90_P16691
contig_2	cds	676340	677098	+	KDBBKD_04810	phnP	phosphonate metabolism protein PhnP	COG:COG1235, COG:P, EC:3.1.4.55, GO:0019700, GO:0030145, GO:0103043, RefSeq:WP_000059908.1, SO:0001217, UniParc:UPI00001319A5, UniRef:UniRef100_P16692, UniRef:UniRef50_P16692, UniRef:UniRef90_P16692
contig_2	cds	677245	677574	-	KDBBKD_04815	yjdP	Uncharacterized protein YjdP	RefSeq:WP_000819746.1, SO:0001217, UniParc:UPI00000DF3BA, UniRef:UniRef100_Q8FAW3, UniRef:UniRef50_Q8FAW3, UniRef:UniRef90_Q8FAW3
contig_2	cds	677643	678092	-	KDBBKD_04820	rpiB	bifunctional allose-6-phosphate isomerase/ribose-5-phosphate isomerase RpiB	COG:COG0698, COG:G, EC:5.3.1.6, GO:0004751, GO:0008786, GO:0009052, GO:0016853, GO:0019316, RefSeq:WP_000716794.1, SO:0001217, UniParc:UPI0000134643, UniRef:UniRef100_P37351, UniRef:UniRef50_P37351, UniRef:UniRef90_P37351
contig_2	cds	678451	679341	+	KDBBKD_04825	alsR	als operon DNA-binding transcriptional repressor AlsR	COG:COG1737, COG:K, GO:0003677, GO:0003700, GO:0006355, GO:0045892, GO:0097367, GO:1901135, RefSeq:WP_000083216.1, SO:0001217, UniParc:UPI0000134644, UniRef:UniRef100_P0ACS8, UniRef:UniRef50_P0ACS8, UniRef:UniRef90_P0ACS8
contig_2	cds	679400	680335	+	KDBBKD_04830	alsB	D-allose transporter substrate-binding protein	COG:COG1879, COG:G, GO:0015752, GO:0015754, GO:0016020, GO:0030288, GO:0048029, GO:0055052, RefSeq:WP_001046187.1, SO:0001217, UniParc:UPI0000125912, UniRef:UniRef100_P39265, UniRef:UniRef50_P39265, UniRef:UniRef90_P39265
contig_2	cds	680462	681994	+	KDBBKD_04835	alsA	D-allose ABC transporter ATP-binding protein AlsA	COG:COG1129, COG:G, EC:7.5.2.8, GO:0005524, GO:0005886, GO:0015611, GO:0015752, GO:0015754, GO:0016020, GO:0055052, KEGG:K10551, RefSeq:WP_000235257.1, SO:0001217, UniParc:UPI0000125911, UniRef:UniRef100_P32721, UniRef:UniRef50_P32721, UniRef:UniRef90_P32721
contig_2	cds	681973	682953	+	KDBBKD_04840	alsC	D-allose ABC transporter permease	COG:COG1172, COG:G, GO:0005886, GO:0005887, GO:0015752, GO:0015754, GO:0016020, GO:0016021, GO:0022857, GO:0055052, KEGG:K10550, RefSeq:WP_000507106.1, SO:0001217, UniParc:UPI0000125913, UniRef:UniRef100_P32720, UniRef:UniRef50_P32720, UniRef:UniRef90_P32720
contig_2	cds	682964	683659	+	KDBBKD_04845	alsE	D-allulose-6-phosphate 3-epimerase	COG:COG0036, COG:G, EC:5.1.3.-, GO:0004750, GO:0005829, GO:0009052, GO:0019316, GO:0034700, GO:0044262, GO:0046872, RefSeq:WP_001311314.1, SO:0001217, UniParc:UPI0000125914, UniRef:UniRef100_P32719, UniRef:UniRef50_P32719, UniRef:UniRef90_P32719
contig_2	cds	683643	684572	+	KDBBKD_04850	alsK	allose kinase	COG:COG1940, COG:GK, EC:2.7.1.55, GO:0003677, GO:0004340, GO:0005524, GO:0006351, GO:0008787, GO:0019316, RefSeq:WP_001171687.1, SO:0001217, UniParc:UPI0000125916, UniRef:UniRef100_P32718, UniRef:UniRef50_P32718, UniRef:UniRef90_P32718
contig_2	cds	684845	686830	+	KDBBKD_04855	yjcS	alkyl sulfatase YjcS	COG:COG2015, COG:Q, EC:3.1.6.-, EC:3.1.6.21, GO:0018741, GO:0018909, GO:0030288, GO:0046872, GO:0046983, RefSeq:WP_001066019.1, SO:0001217, UniParc:UPI000013B53A, UniRef:UniRef100_P32717, UniRef:UniRef50_P32717, UniRef:UniRef90_P32717
contig_2	cds	687039	687314	+	KDBBKD_04860	ytcA	Uncharacterized protein YtcA	GO:0005886, GO:0016021, RefSeq:WP_001295389.1, SO:0001217, UniParc:UPI0001505B9C, UniRef:UniRef100_A5A630, UniRef:UniRef50_Q31TR5, UniRef:UniRef90_Q31TR5
contig_2	cds	687333	688364	+	KDBBKD_04865	mdtN	multidrug efflux transporter periplasmic adaptor subunit MdtN	COG:COG1566, COG:V, GO:0005886, GO:0016021, GO:0042910, GO:0046677, GO:1990961, KEGG:K15549, RefSeq:WP_000446378.1, SO:0001217, UniParc:UPI000013B539, UniRef:UniRef100_P32716, UniRef:UniRef50_P32716, UniRef:UniRef90_P32716
contig_2	cds	688364	690415	+	KDBBKD_04870	mdtO	multidrug efflux transporter permease subunit MdtO	COG:COG1289, COG:S, GO:0005886, GO:0016021, GO:0022857, GO:0046677, KEGG:K15547, RefSeq:WP_001275207.1, SO:0001217, UniParc:UPI000013B538, UniRef:UniRef100_P32715, UniRef:UniRef50_P32715, UniRef:UniRef90_P32715
contig_2	cds	690412	691878	+	KDBBKD_04875	mdtP	multidrug efflux transporter outer membrane subunit MdtP	COG:COG1538, COG:M, GO:0009279, GO:0015562, GO:0016021, GO:0046677, RefSeq:WP_000610601.1, SO:0001217, UniParc:UPI000013B537, UniRef:UniRef100_P32714, UniRef:UniRef50_P32714, UniRef:UniRef90_P32714
contig_2	cds	692076	694223	+	KDBBKD_04880	fdhF	formate dehydrogenase subunit alpha	COG:COG3383, COG:R, EC:1.17.98.-, EC:1.17.98.4, GO:0005829, GO:0006007, GO:0008863, GO:0009061, GO:0009326, GO:0015944, GO:0016020, GO:0016903, GO:0019628, GO:0019645, GO:0043546, GO:0045272, GO:0045333, GO:0046872, GO:0051539, KEGG:K22015, RefSeq:WP_001300547.1, SO:0001217, UniParc:UPI0000168218, UniRef:UniRef100_P07658, UniRef:UniRef50_P07658, UniRef:UniRef90_P07658
contig_2	ncRNA-region	692488	692542	+			Selenocysteine insertion sequence 2	RFAM:RF01988, SO:1001268
contig_2	cds	694317	695006	+	KDBBKD_04885		Uncharacterized protein YjcO	RefSeq:WP_000719886.1, SO:0001217, UniParc:UPI000013B536, UniRef:UniRef100_P0AF57, UniRef:UniRef90_P0AF57
contig_2	ncRNA	695011	695081	-	KDBBKD_04890	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_2	ncRNA	695124	695194	-	KDBBKD_04895	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_2	ncRNA	695237	695307	-	KDBBKD_04900	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_2	ncRNA	695350	695420	-	KDBBKD_04905	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_2	cds	695537	696850	-	KDBBKD_04910	gltP	glutamate/aspartate:proton symporter GltP	COG:C, COG:COG1301, GO:0005280, GO:0005886, GO:0006835, GO:0016020, GO:0016021, GO:0022857, RefSeq:WP_000789592.1, SO:0001217, UniParc:UPI000012B812, UniRef:UniRef100_P21345, UniRef:UniRef50_P21345, UniRef:UniRef90_P21345
contig_2	cds	697192	697788	-	KDBBKD_04915	nrfG	heme lyase NrfEFG subunit NrfG	COG:CO, COG:COG4235, GO:0005886, GO:0018378, RefSeq:WP_000812896.1, SO:0001217, UniParc:UPI00001304FE, UniRef:UniRef100_P32712, UniRef:UniRef50_P32712, UniRef:UniRef90_P32712
contig_2	cds	697785	698168	-	KDBBKD_04920	nrfF	heme lyase NrfEFG subunit NrfF	COG:CO, COG:COG3088, GO:0005886, GO:0018378, GO:0042597, GO:0046872, RefSeq:WP_001032531.1, SO:0001217, UniParc:UPI00001304FB, UniRef:UniRef100_P32711, UniRef:UniRef50_P32711, UniRef:UniRef90_P32711
contig_2	cds	698161	699783	-	KDBBKD_04925	nrfF	heme lyase NrfEFG subunit NrfF	COG:CO, COG:COG1138, GO:0005886, GO:0015232, GO:0016021, GO:0018378, GO:0020037, SO:0001217, UniParc:UPI0001DB9016, UniRef:UniRef100_A0A167SY24, UniRef:UniRef50_P32710, UniRef:UniRef90_P32710
contig_2	cds	699899	700855	-	KDBBKD_04930	nrfD	cytochrome c nitrite reductase subunit NrfD	COG:COG3301, COG:P, GO:0005886, GO:0016021, KEGG:K04015, RefSeq:WP_000195171.1, SO:0001217, UniParc:UPI0000168216, UniRef:UniRef100_P32709, UniRef:UniRef50_P32709, UniRef:UniRef90_P32709
contig_2	cds	700852	701523	-	KDBBKD_04935	nrfC	cytochrome c nitrite reductase Fe-S protein	COG:C, COG:COG0437, GO:0016491, GO:0046872, GO:0051539, KEGG:K04014, RefSeq:WP_000220281.1, SO:0001217, UniParc:UPI00001304F5, UniRef:UniRef100_P0AAK8, UniRef:UniRef50_P0AAK8, UniRef:UniRef90_P0AAK8
contig_2	cds	701520	702086	-	KDBBKD_04940	nrfB	cytochrome c nitrite reductase pentaheme subunit	COG:COG3303, COG:P, GO:0006807, GO:0009055, GO:0016491, GO:0019645, GO:0020037, GO:0030288, GO:0042279, GO:0046872, RefSeq:WP_001295391.1, SO:0001217, UniParc:UPI00001304F3, UniRef:UniRef100_P0ABL2, UniRef:UniRef50_P0ABL2, UniRef:UniRef90_P0ABL2
contig_2	cds	702131	703567	-	KDBBKD_04945	nrfA	ammonia-forming nitrite reductase cytochrome c552 subunit	COG:COG3303, COG:P, EC:1.7.2.2, GO:0005506, GO:0005509, GO:0009061, GO:0020037, GO:0042128, GO:0042279, GO:0042597, KEGG:K03385, RefSeq:WP_000196875.1, SO:0001217, UniParc:UPI00001304EC, UniRef:UniRef100_A7ZUU5, UniRef:UniRef50_Q8EAC7, UniRef:UniRef90_Q83P93
contig_2	sorf	703664	703720	-	KDBBKD_04950	ytcB	Protein YtcB	RefSeq:WP_240812435.1, SO:0001217, UniParc:UPI001E25D3BC, UniRef:UniRef100_P0DV20, UniRef:UniRef50_P0DV20, UniRef:UniRef90_P0DV20
contig_2	cds	703960	705918	+	KDBBKD_04955	acs	acetate--CoA ligase	COG:COG0365, COG:I, EC:6.2.1.1, GO:0003987, GO:0005524, GO:0005829, GO:0006085, GO:0006935, GO:0016208, GO:0018394, GO:0019427, GO:0033558, GO:0034421, GO:0045733, GO:0046872, GO:0050218, RefSeq:WP_000078239.1, SO:0001217, UniParc:UPI00001253B0, UniRef:UniRef100_P27550, UniRef:UniRef50_P27550, UniRef:UniRef90_P27550
contig_2	ncRNA	705956	706026	-	KDBBKD_04960	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_2	cds	706118	706432	+	KDBBKD_04965	yjcH	Inner membrane protein YjcH	GO:0005886, GO:0016021, RefSeq:WP_001014565.1, SO:0001217, UniParc:UPI000013B535, UniRef:UniRef100_P0AF54, UniRef:UniRef50_P0AF54, UniRef:UniRef90_P0AF54
contig_2	cds	706429	708078	+	KDBBKD_04970	actP	cation/acetate symporter ActP	COG:C, COG:COG4147, GO:0005887, GO:0006814, GO:0015123, GO:0015293, GO:0043879, RefSeq:WP_000832573.1, SO:0001217, UniParc:UPI000013B534, UniRef:UniRef100_A7ZUU1, UniRef:UniRef50_Q8X5T7, UniRef:UniRef90_Q8X5T7
contig_2	cds	708256	709548	+	KDBBKD_04975	espX5	T3SS effector pentapeptide repeat protein EspX5	RefSeq:WP_001270094.1, SO:0001217, UniParc:UPI000003EB5A, UniRef:UniRef100_P32704, UniRef:UniRef50_P32704, UniRef:UniRef90_P32704
contig_2	cds	709702	711351	-	KDBBKD_04980	yjcE	Na+/H+ antiporter	COG:COG0025, COG:P, GO:0005886, GO:0015385, GO:0015386, GO:0016021, GO:0051453, GO:0071805, GO:0098719, KEGG:K24163, RefSeq:WP_000402210.1, SO:0001217, UniParc:UPI000013B533, UniRef:UniRef100_P32703, UniRef:UniRef50_P32703, UniRef:UniRef90_P32703
contig_2	cds	711503	712852	-	KDBBKD_04985	ghxP	guanine/hypoxanthine transporter GhxP	COG:COG2252, COG:F, GO:0005345, GO:0005886, GO:0015208, GO:0016021, GO:0035344, GO:0098710, RefSeq:WP_000106882.1, SO:0001217, UniParc:UPI000013B532, UniRef:UniRef100_P0AF53, UniRef:UniRef50_P0AF53, UniRef:UniRef90_P0AF53
contig_2	ncRNA	713265	713405	+	KDBBKD_04990	sraL	sraL Hfq binding RNA	RFAM:RF01408, SO:0000655
contig_2	cds	713398	713862	-	KDBBKD_04995	soxR	redox-sensitive transcriptional activator SoxR	COG:COG0789, COG:K, GO:0003677, GO:0006355, GO:0006979, GO:0046872, GO:0051537, RefSeq:WP_000412428.1, SO:0001217, UniParc:UPI0000135D18, UniRef:UniRef100_P0ACS3, UniRef:UniRef50_P0A2R1, UniRef:UniRef90_P0ACS3
contig_2	cds	713948	714271	+	KDBBKD_05000	soxS_A12S	regulatory protein SoxS	GO:0000987, GO:0001108, GO:0003700, GO:0005737, GO:0006355, RefSeq:WP_000019358.1, SO:0001217, UniParc:UPI000016554E, UniRef:UniRef100_P0A9E4, UniRef:UniRef50_Q56143, UniRef:UniRef90_P0A9E4
contig_2	cds	714274	715860	-	KDBBKD_05005	pdeC	c-di-GMP phosphodiesterase PdeC	COG:COG4943, COG:T, EC:3.1.4.52, GO:0005886, GO:0016021, GO:0071111, RefSeq:WP_000019548.1, SO:0001217, UniParc:UPI000013B531, UniRef:UniRef100_P32701, UniRef:UniRef50_P32701, UniRef:UniRef90_P32701
contig_2	cds	716290	716571	+	KDBBKD_05010		Uncharacterized protein YjcB	RefSeq:WP_001295689.1, SO:0001217, UniParc:UPI000013B530, UniRef:UniRef100_P32700, UniRef:UniRef90_P32700
contig_2	cds	716670	717206	-	KDBBKD_05015	ssb1	single-stranded DNA-binding protein SSB1	COG:COG0629, COG:L, GO:0000725, GO:0003697, GO:0005829, GO:0006261, GO:0006298, GO:0008047, GO:0009295, GO:0009432, GO:0030894, GO:0042802, GO:0043085, GO:0044777, GO:0051096, RefSeq:WP_000168305.1, SO:0001217, UniParc:UPI000016554D, UniRef:UniRef100_P0AGE2, UniRef:UniRef50_Q9KUW2, UniRef:UniRef90_P0AGE2
contig_2	cds	717460	720282	+	KDBBKD_05020	uvrA	excinuclease ABC subunit UvrA	COG:COG0178, COG:L, GO:0003677, GO:0005524, GO:0005737, GO:0006289, GO:0008270, GO:0009380, GO:0009381, GO:0009432, GO:0016887, RefSeq:WP_000357740.1, SO:0001217, UniParc:UPI0000043B8B, UniRef:UniRef100_P0A698, UniRef:UniRef50_P0A698, UniRef:UniRef90_P0A698
contig_2	cds	720317	720673	-	KDBBKD_05025	yjbR	Uncharacterized protein YjbR	RefSeq:WP_000155657.1, SO:0001217, UniParc:UPI000013B52B, UniRef:UniRef100_P0AF51, UniRef:UniRef50_P0AF51, UniRef:UniRef90_P0AF51
contig_2	cds	720677	721093	-	KDBBKD_05030	yjbQ	UPF0047 protein YjbQ	RefSeq:WP_000270375.1, SO:0001217, UniParc:UPI000013B52A, UniRef:UniRef100_P0AF49, UniRef:UniRef50_P0AF49, UniRef:UniRef90_P0AF49
contig_2	cds	721204	721917	-	KDBBKD_05035	aphA	acid phosphatase AphA	EC:3.1.3.2, GO:0003993, GO:0030288, GO:0046872, KEGG:K03788, RefSeq:WP_001226928.1, SO:0001217, UniParc:UPI0000125C79, UniRef:UniRef100_P0AE22, UniRef:UniRef50_P0AE22, UniRef:UniRef90_P0AE22
contig_2	cds	722319	722522	+	KDBBKD_05040	yjbS	Uncharacterized protein YjbS	RefSeq:WP_001321562.1, SO:0001217, UniParc:UPI000013B52C, UniRef:UniRef100_P58036, UniRef:UniRef50_P58036, UniRef:UniRef90_P58036
contig_2	cds	723024	724217	-	KDBBKD_05045	tyrB	aromatic amino acid transaminase	COG:COG1448, COG:E, EC:2.6.1.57, GO:0004838, GO:0005829, GO:0006571, GO:0008483, GO:0030170, GO:0033585, GO:0042802, GO:0080130, RefSeq:WP_000486985.1, SO:0001217, UniParc:UPI0000112D7A, UniRef:UniRef100_P04693, UniRef:UniRef50_P04693, UniRef:UniRef90_P04693
contig_2	cds	724470	725549	-	KDBBKD_05050	alr	alanine racemase	COG:COG0787, COG:M, EC:5.1.1.1, GO:0008360, GO:0008784, GO:0009252, GO:0030170, GO:0030632, GO:0071555, KEGG:K01775, RefSeq:WP_001147328.1, SO:0001217, UniParc:UPI00001258C2, UniRef:UniRef100_P0A6B4, UniRef:UniRef50_P0A6B4, UniRef:UniRef90_P0A6B4
contig_2	cds	725602	727017	-	KDBBKD_05055	dnaB	replicative DNA helicase	COG:COG0305, COG:L, EC:3.6.4.12, GO:0003677, GO:0003678, GO:0004386, GO:0005524, GO:0005829, GO:0006260, GO:0006268, GO:0006269, GO:0006270, GO:0010212, GO:0016887, GO:0030894, GO:0031297, GO:0032508, GO:0033202, GO:0042802, GO:1990077, GO:1990100, GO:1990156, GO:1990158, GO:1990159, GO:1990160, RefSeq:WP_000918363.1, SO:0001217, UniParc:UPI0000129552, UniRef:UniRef100_P0ACB0, UniRef:UniRef50_P0ACB0, UniRef:UniRef90_P0ACB0
contig_2	cds	727100	728083	+	KDBBKD_05060	qorA	Quinone oxidoreductase 1	COG:COG0604, COG:CR, EC:1.6.5.5, GO:0003960, GO:0005829, GO:0008270, GO:0016651, GO:0070402, RefSeq:WP_000235508.1, SO:0001217, UniParc:UPI0000112B3C, UniRef:UniRef100_P28304, UniRef:UniRef50_P28304, UniRef:UniRef90_P28304
contig_2	cds	728249	728491	-	KDBBKD_05065	pspG	envelope stress response protein PspG	GO:0005886, GO:0009271, GO:0016021, RefSeq:WP_000891404.1, SO:0001217, UniParc:UPI000013B529, UniRef:UniRef100_P32696, UniRef:UniRef50_P32696, UniRef:UniRef90_P32696
contig_2	cds	728625	729662	-	KDBBKD_05070	dusA	tRNA dihydrouridine(20/20a) synthase DusA	COG:COG0042, COG:J, EC:1.-.-.-, EC:1.3.1.-, EC:1.3.1.91, GO:0000049, GO:0010181, GO:0050660, GO:0102264, KEGG:K05539, RefSeq:WP_001298868.1, SO:0001217, UniParc:UPI00000D0C46, UniRef:UniRef100_Q8X5V6, UniRef:UniRef50_Q8ZJ14, UniRef:UniRef90_Q8X5V6
contig_2	cds	730025	730732	-	KDBBKD_05075	yjbM	Uncharacterized protein YjbM	RefSeq:WP_001311303.1, SO:0001217, UniParc:UPI000013B526, UniRef:UniRef100_P32694, UniRef:UniRef50_P32694, UniRef:UniRef90_P32694
contig_2	cds	730756	731010	-	KDBBKD_05080	yjbM	Uncharacterized protein YjbM	RefSeq:WP_000912571.1, SO:0001217, UniParc:UPI000013B525, UniRef:UniRef100_P32693, UniRef:UniRef50_P32694, UniRef:UniRef90_P32694
contig_2	cds	731328	731843	+	KDBBKD_05085	zur	zinc uptake transcriptional repressor Zur	COG:COG0735, COG:P, GO:0003677, GO:0003700, RefSeq:WP_001295691.1, SO:0001217, UniParc:UPI000013C48C, UniRef:UniRef100_P0AC51, UniRef:UniRef50_P0AC51, UniRef:UniRef90_P0AC51
contig_2	cds	731885	732094	-	KDBBKD_05090	yjbJ	UPF0337 protein YjbJ	COG:COG3237, COG:S, GO:0005829, GO:0060187, RefSeq:WP_001030593.1, SO:0001217, UniParc:UPI0000113221, UniRef:UniRef100_P68207, UniRef:UniRef50_Q8FB32, UniRef:UniRef90_Q8FB32
contig_2	cds	732210	733535	-	KDBBKD_05095	dinF	MATE family efflux transporter DinF	COG:COG0534, COG:V, GO:0005886, GO:0015297, GO:0016021, GO:0042910, RefSeq:WP_001326646.1, SO:0001217, UniParc:UPI00016024EC, UniRef:UniRef100_P28303, UniRef:UniRef50_P28303, UniRef:UniRef90_P28303
contig_2	cds	733608	734216	-	KDBBKD_05100	lexA	transcriptional repressor LexA	EC:3.4.21.88, GO:0003677, GO:0004252, GO:0006260, GO:0006281, GO:0006508, GO:0009432, GO:0045892, KEGG:K01356, RefSeq:WP_000646078.1, SO:0001217, UniParc:UPI0000042A94, UniRef:UniRef100_A7ZUR5, UniRef:UniRef50_A8AN85, UniRef:UniRef90_A8AN85
contig_2	cds	734326	734694	-	KDBBKD_05105	dgkA	diacylglycerol kinase	COG:COG0818, COG:I, EC:2.7.1.107, GO:0004143, GO:0005524, GO:0005886, GO:0006654, GO:0016021, GO:0016310, GO:0046872, RefSeq:WP_000002907.1, SO:0001217, UniParc:UPI0000163A5C, UniRef:UniRef100_P0ABN3, UniRef:UniRef50_P0ABN3, UniRef:UniRef90_P0ABN3
contig_2	cds	734865	737288	+	KDBBKD_05110	plsB	glycerol-3-phosphate 1-O-acyltransferase PlsB	COG:COG2937, COG:I, EC:2.3.1.15, GO:0004366, GO:0005886, GO:0016024, GO:0102420, KEGG:K00631, RefSeq:WP_000017354.1, SO:0001217, UniParc:UPI000016F3EF, UniRef:UniRef100_A1AIL8, UniRef:UniRef50_P58130, UniRef:UniRef90_P58130
contig_2	cds	737443	738315	-	KDBBKD_05115	ubiA	4-hydroxybenzoate octaprenyltransferase	COG:COG0382, COG:H, EC:2.5.1.39, GO:0002083, GO:0005886, GO:0006744, GO:0008412, GO:0016021, GO:0016765, GO:0047293, RefSeq:WP_000455227.1, SO:0001217, UniParc:UPI0000137980, UniRef:UniRef100_A7ZUR2, UniRef:UniRef50_A4STB5, UniRef:UniRef90_Q83IP7
contig_2	cds	738328	738825	-	KDBBKD_05120	ubiC	chorismate lyase	COG:COG3161, COG:H, EC:4.1.3.40, GO:0005737, GO:0006744, GO:0008813, GO:0042866, RefSeq:WP_001326644.1, SO:0001217, UniParc:UPI0000046A61, UniRef:UniRef100_C5A132, UniRef:UniRef50_Q8XEC3, UniRef:UniRef90_Q8XEC3
contig_2	cds	739048	740376	-	KDBBKD_05125	yjbI	SopA family protein	COG:COG1357, COG:S, SO:0001217, UniParc:UPI000003EB2E, UniRef:UniRef100_P32690, UniRef:UniRef50_P32690, UniRef:UniRef90_P32690
contig_2	cds	740434	740628	-	KDBBKD_05130		YjbI protein	SO:0001217, UniParc:UPI00001B5145, UniRef:UniRef100_A0A1X7B9U2, UniRef:UniRef50_A0A0K3IUZ2, UniRef:UniRef90_E0J0F6
contig_2	cds	740730	740882	+	KDBBKD_05135		hypothetical protein	SO:0001217, UniParc:UPI000174CEBA, UniRef:UniRef100_J7QJD9, UniRef:UniRef50_E9XS02, UniRef:UniRef90_J7QJD9
contig_2	cds	740857	741777	-	KDBBKD_05140	malM	maltose operon protein MalM	GO:0008643, GO:0030288, RefSeq:WP_001326641.1, SO:0001217, UniParc:UPI000012EB56, UniRef:UniRef100_P03841, UniRef:UniRef50_P03841, UniRef:UniRef90_P03841
contig_2	ncRNA	741937	742007	-	KDBBKD_05145	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_2	cds	742020	743360	-	KDBBKD_05150	lamB	maltoporin LamB	COG:COG4580, COG:G, GO:0006811, GO:0009279, GO:0015481, GO:0042958, GO:0046930, RefSeq:WP_000973663.1, SO:0001217, UniParc:UPI000012E213, UniRef:UniRef100_C5A130, UniRef:UniRef50_P31242, UniRef:UniRef90_Q8X5W7
contig_2	cds	743432	744547	-	KDBBKD_05155	malK	maltose/maltodextrin ABC transporter ATP-binding protein MalK	COG:COG3839, COG:G, EC:7.5.2.1, GO:0005524, GO:0005886, GO:0015423, GO:0032991, RefSeq:WP_000179165.1, SO:0001217, UniParc:UPI000012EB53, UniRef:UniRef100_P68188, UniRef:UniRef50_Q8FB37, UniRef:UniRef90_Q8FB37
contig_2	cds	744724	744819	+	KDBBKD_05160		sugar ABC transporter	SO:0001217, UniParc:UPI00019AAA4A, UniRef:UniRef100_A0A0A0GW28, UniRef:UniRef50_J7R8X5, UniRef:UniRef90_J7R8X5
contig_2	cds	744912	746102	+	KDBBKD_05165	malE	maltose/maltodextrin ABC transporter substrate-binding protein MalE	COG:COG2182, COG:G, GO:0015144, GO:0042597, RefSeq:WP_000695387.1, SO:0001217, UniParc:UPI000012EB43, UniRef:UniRef100_P0AEY0, UniRef:UniRef50_P19576, UniRef:UniRef90_P0AEY0
contig_2	ncRNA	746166	746236	-	KDBBKD_05170	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_2	cds	746256	747800	+	KDBBKD_05175	malF	maltose ABC transporter permease MalF	COG:COG1175, COG:G, GO:0008643, GO:0043190, GO:0055085, KEGG:K10109, RefSeq:WP_001297290.1, SO:0001217, UniParc:UPI000012EB4A, UniRef:UniRef100_P02916, UniRef:UniRef50_P02916, UniRef:UniRef90_P02916
